Категория: Все категории

Регионы,abs: (20.06.2024 – 20.06.2025)
Ровенская область,100
Донецкая область,96
Волынская область,95
Хмельницкая область,95
Тернопольская область,94
Львовская область,94
Житомирская область,91
Харьковская область,90
Черниговская область,90
Винницкая область,89
Черкасская область,88
Ивано-Франковская область,88
Полтавская область,87
Киевская область,87
Черновицкая область,83
Крым,83
город Севастополь,83
Запорожская область,82
город Киев,78
Сумская область,78
Николаевская область,78
Одесская область,78
Днепропетровская область,77
Кировоградская область,76
Херсонская область,69
Закарпатская область,67
Луганская область,60
