Категория: Все категории

Регионы,asa: (20.06.2024 – 20.06.2025)
Закарпатская область,100
город Киев,83
Черновицкая область,71
Крым,67
Киевская область,66
город Севастополь,65
Черкасская область,57
Запорожская область,53
Львовская область,53
Волынская область,52
Одесская область,52
Днепропетровская область,50
Ивано-Франковская область,50
Харьковская область,48
Хмельницкая область,48
Николаевская область,46
Черниговская область,45
Полтавская область,43
Житомирская область,42
Донецкая область,41
Кировоградская область,39
Ровенская область,39
Винницкая область,37
Сумская область,33
Тернопольская область,32
Луганская область,
Херсонская область,
