Категория: Все категории

Регионы,creality: (20.06.2024 – 20.06.2025)
город Киев,100
Донецкая область,87
Харьковская область,81
Киевская область,74
Запорожская область,71
Львовская область,66
Луганская область,64
Сумская область,61
Черкасская область,61
Днепропетровская область,59
Житомирская область,56
Одесская область,56
Ровенская область,53
Ивано-Франковская область,50
Волынская область,50
Николаевская область,49
Черниговская область,48
Кировоградская область,48
Закарпатская область,45
Полтавская область,44
Винницкая область,43
Хмельницкая область,40
Тернопольская область,39
Черновицкая область,30
Крым,17
Херсонская область,3
город Севастополь,
