Категория: Все категории

Регионы,elegoo: (20.06.2024 – 20.06.2025)
Запорожская область,100
Донецкая область,93
город Киев,76
Харьковская область,74
Сумская область,72
Кировоградская область,66
Львовская область,64
Киевская область,64
Днепропетровская область,64
Винницкая область,57
Одесская область,55
Тернопольская область,54
Хмельницкая область,52
Житомирская область,52
Николаевская область,49
Ровенская область,49
Полтавская область,49
Крым,47
Черкасская область,42
Ивано-Франковская область,42
город Севастополь,
Закарпатская область,
Луганская область,
Херсонская область,
Волынская область,
Черниговская область,
Черновицкая область,
