Категория: Все категории

Регионы,lbl: (20.06.2024 – 20.06.2025)
Житомирская область,100
Киевская область,68
город Киев,68
Одесская область,58
Львовская область,48
Днепропетровская область,41
Харьковская область,37
Винницкая область,
Ивано-Франковская область,
Запорожская область,
Закарпатская область,
Кировоградская область,
город Севастополь,
Крым,
Донецкая область,
Николаевская область,
Луганская область,
Полтавская область,
Ровенская область,
Сумская область,
Тернопольская область,
Волынская область,
Херсонская область,
Хмельницкая область,
Черкасская область,
Черниговская область,
Черновицкая область,
