Категория: Все категории

Регионы,monofilament: (20.06.2024 – 20.06.2025)
город Киев,100
Киевская область,62
Львовская область,56
Винницкая область,54
Харьковская область,40
Одесская область,29
Днепропетровская область,24
Черкасская область,2
Крым,
Ивано-Франковская область,
Запорожская область,
Кировоградская область,
город Севастополь,
Закарпатская область,
Житомирская область,
Николаевская область,
Донецкая область,
Полтавская область,
Ровенская область,
Сумская область,
Тернопольская область,
Луганская область,
Херсонская область,
Хмельницкая область,
Волынская область,
Черниговская область,
Черновицкая область,
