Категория: Все категории

Регионы,petg: (20.06.2024 – 20.06.2025)
город Киев,100
Киевская область,87
Харьковская область,86
Львовская область,75
Тернопольская область,65
Запорожская область,65
Сумская область,60
Черкасская область,57
Днепропетровская область,56
Ивано-Франковская область,55
Хмельницкая область,52
Винницкая область,50
Полтавская область,50
Кировоградская область,50
Донецкая область,50
Закарпатская область,46
Черниговская область,46
Житомирская область,45
Волынская область,41
Одесская область,40
Крым,39
Николаевская область,37
Черновицкая область,33
Ровенская область,32
Херсонская область,
город Севастополь,
Луганская область,
