Категория: Все категории
"petg: (20.06.2024 – 20.06.2025, Украина)"

TOP
Полиэтилентерефталат-гликоль (ПЭТГ) — пластик,100
Пластмасса,30
Волокно для 3D-принтера,16
Полилактид,12
SUNLU,12
Трёхмерная графика,11
Печатание,11
Bambu Lab,10
Принтер,9
Температура,9
PETG 3D Printer Filament SUNLU Filament,9
3D-принтер,8
Аддитивное производство,6
Трёхмерное пространство,6
Creality,6
Creality 3D,5
термопластичный полиуретан,3
LBL,3
Антиблокировочная система,2
АБС-пластик,2
Средняя скорость,2
Сушка,2
ESUN,2
Углеродное волокно,2

RISING
Материал,Сверхпопулярность
Пластик Hyper PETG Creality 1кг 1.75мм,Сверхпопулярность
Пластик ESUN PETG/1.75мм/1кг,Сверхпопулярность
Переработка отходов,Сверхпопулярность
Зубчатое колесо,Сверхпопулярность
MonoFilament,Сверхпопулярность
3D-принтер Creality Ender-3,Сверхпопулярность
Bambu Lab Filament PETG CF spool,Сверхпопулярность
Devil Design 05902280030096 печатный материал для 3D-принтеров Полиэтилентерефталатгликоль (ПЭТГ) Черный 2 kg,Сверхпопулярность
Bambu Lab PETG HF Filament,Сверхпопулярность
Тензорный процессор Google,Сверхпопулярность
Пластик PETG PRO Elegoo 1кг 1.75мм 50.203,Сверхпопулярность
Polymaker,Сверхпопулярность
Цианоакрилат,Сверхпопулярность
PETG 3D Printer Filament SUNLU Filament,+1 800 %
LBL,+350 %
Bambu Lab Bambu PETG Basic Spool,+300 %
SUNLU,+300 %
Bambulab A1 Mini,+300 %
термопластичный полиуретан,+250 %
Углеродное волокно,+180 %
Bambu Lab,+110 %

