Категория: Все категории

Регионы,pla: (20.06.2024 – 20.06.2025)
город Киев,100
Львовская область,75
Харьковская область,72
Киевская область,72
Житомирская область,59
Ивано-Франковская область,55
Днепропетровская область,55
Черкасская область,54
Сумская область,52
Черновицкая область,51
Одесская область,51
Запорожская область,51
Донецкая область,45
Волынская область,44
Винницкая область,44
Закарпатская область,43
Тернопольская область,42
Николаевская область,37
Черниговская область,37
Ровенская область,35
Хмельницкая область,35
Кировоградская область,32
Полтавская область,32
Крым,32
город Севастополь,
Херсонская область,
Луганская область,
