Категория: Все категории

Регионы,prusa: (20.06.2024 – 20.06.2025)
город Киев,100
Львовская область,85
Хмельницкая область,72
Киевская область,68
Харьковская область,68
Тернопольская область,63
Одесская область,53
Ровенская область,48
Винницкая область,48
Днепропетровская область,48
Ивано-Франковская область,46
Черкасская область,46
Донецкая область,4
Крым,
город Севастополь,
Николаевская область,
Кировоградская область,
Полтавская область,
Запорожская область,
Сумская область,
Закарпатская область,
Житомирская область,
Херсонская область,
Луганская область,
Волынская область,
Черниговская область,
Черновицкая область,
