Категория: Все категории
"prusa: (20.06.2024 – 20.06.2025, Украина)"

TOP
prusa slicer,100
prusa 3d,68
prusa mk4,62
prusa xl,48
prusa i3,41
bambu lab,29
prusa 3d printer,28
prusa mini,25
prusa core one,21
prusa mk3,18
prusa mk4s,17
bambulab,16
prusa connect,16
orca slicer,11
prusaslicer,8
creality k1,6
prusa core one kit,<1

RISING
prusa core one,Сверхпопулярность
prusa mk4s,Сверхпопулярность
prusa core one kit,+2 850 %
bambulab,+190 %
bambu lab,+170 %
prusa xl,+100 %
orca slicer,+90 %
prusa connect,+80 %

