# ----------------------------------------
# Демографические данные: Город
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
Город,Активные пользователи,Новые пользователи,Сеансы с взаимодействием,Доля взаимод.,Сеансы с взаимодействием на активного пользователя,Среднее время взаимодействия на активного пользователя,Количество событий,Ключевые события,Доля ключевых событий на пользователя,Общий доход
Kyiv,295,277,430,0.9347826086956522,1.4576271186440677,87.27796610169491,7624,1629,0.9966101694915255,27279.999942
(not set),107,101,121,0.9758064516129032,1.1308411214953271,45.4392523364486,1256,257,0.9906542056074766,5290.000031
Lviv,92,80,111,0.940677966101695,1.2065217391304348,48.78260869565217,1319,255,0.9782608695652174,5199.999998
Dnipro,86,75,95,0.9595959595959596,1.1046511627906976,39.02325581395349,1064,205,0.9883720930232558,1600.000021
Odesa,65,53,83,0.9651162790697675,1.2769230769230768,51.753846153846155,1275,263,0.9692307692307692,320.000005
Kharkiv,61,54,68,0.8947368421052632,1.1147540983606556,76.65573770491804,955,177,0.9672131147540983,759.999964
Zaporizhzhia,36,33,72,0.8470588235294118,2,101.55555555555556,976,202,0.9444444444444444,4040.000014
Mykolaiv,25,20,29,0.9666666666666667,1.16,37.48,336,64,1,0
Vinnytsia,22,20,30,0.967741935483871,1.3636363636363635,50.27272727272727,458,99,1,1980.00002
New York,13,13,13,1,1,2.3846153846153846,63,13,1,0
Poltava,12,12,16,0.8888888888888888,1.3333333333333333,79.33333333333333,221,45,1,639.999996
Donetsk,11,8,12,1,1.0909090909090908,27.818181818181817,96,17,0.8181818181818182,0
Kryvyi Rih,11,9,18,0.8181818181818182,1.6363636363636365,28,208,44,1,0
Khmelnytskyi,10,10,10,1,1,20.7,127,23,1,0
Irpin,9,9,10,1,1.1111111111111112,53.77777777777778,215,47,1,3120.000002
Chernivtsi,8,8,8,1,1,19.875,90,15,1,0
Lutsk,8,8,8,1,1,56.375,75,15,1,0
Hyderabad,7,7,8,1,1.1428571428571428,24.857142857142858,89,17,1,0
Tirana,7,7,7,1,1,0,29,7,1,0
Zhytomyr,7,7,7,1,1,61.57142857142857,113,20,1,0
Bila Tserkva,6,5,8,0.8,1.3333333333333333,41.666666666666664,84,14,1,0
Brovary,6,6,6,1,1,19.166666666666668,59,10,1,0
Ivano-Frankivsk,6,6,6,1,1,11.666666666666666,58,9,1,0
Kherson,6,6,9,0.9,1.5,16.333333333333332,68,12,1,0
Rivne,6,6,6,1,1,262.8333333333333,219,45,1,1849.999988
Uzhhorod,6,5,8,0.8888888888888888,1.3333333333333333,107,172,32,1,0
,5,2,2,0.25,0.4,41,28,7,1,0
Cherkasy,5,5,6,1,1.2,37.2,95,19,1,0
Kremenchuk,5,5,5,0.8333333333333334,1,43.8,42,7,1,0
Mariupol',5,1,5,1,1,19.8,46,10,0.8,0
Singapore,5,5,5,1,1,0,20,5,1,0
Ternopil,5,5,5,1,1,118,133,29,1,0
17431,4,3,4,1,1,108,33,8,1,0
Boyarka,4,4,8,1,2,147.25,145,34,1,0
Hadyach,4,4,7,0.6363636363636364,1.75,37.5,105,18,1,0
Kramatorsk,4,4,4,1,1,30,32,6,1,0
Pidhorodne,4,3,4,1,1,9,30,5,1,0
Vyshneve,4,4,5,0.8333333333333334,1.25,43.25,42,8,1,0
Yerevan,4,4,4,1,1,7.25,21,4,1,0
Boryspil',3,3,6,1,2,177.33333333333334,117,27,1,339.999988
Bucha,3,3,4,1,1.3333333333333333,32.666666666666664,27,5,1,0
Chisinau,3,3,6,0.75,2,17.333333333333332,66,13,1,0
Korostyshiv,3,3,4,1,1.3333333333333333,12.666666666666666,32,5,1,0
London,3,3,3,1,1,115.66666666666667,18,3,1,0
Los Angeles,3,3,3,1,1,0,16,3,1,0
Pavlohrad,3,2,3,1,1,5,20,4,1,0
Petropavlivska Borshchahivka,3,3,3,1,1,7,17,3,1,0
Romny,3,3,3,1,1,259.3333333333333,141,32,1,0
Samar,3,1,3,1,1,12.666666666666666,21,4,1,0
Sofiivska Borschahivka,3,3,6,0.8571428571428571,2,125.33333333333333,99,20,1,0
Warsaw,3,3,4,1,1.3333333333333333,48.333333333333336,75,16,1,0
Bhubaneswar,2,2,2,1,1,0,18,3,1,0
Bolekhiv,2,2,2,1,1,152,64,13,1,0
Chernihiv,2,1,2,1,1,2.5,13,2,1,0
Chicago,2,1,2,1,1,0,10,2,1,0
Delhi,2,2,2,1,1,6,10,2,1,0
Druzhkivka,2,2,2,1,1,35,23,4,1,0
Fastiv,2,2,2,1,1,73.5,23,5,1,0
Frankfurt,2,2,2,1,1,1,10,2,1,0
Gurugram,2,2,2,1,1,38.5,32,6,1,0
Hlobyne,2,2,2,1,1,12,14,2,1,0
Illintsi,2,2,3,1,1.5,73,32,6,1,0
Izmail,2,2,2,1,1,11.5,23,4,1,0
Kamianske,2,2,4,1,2,172.5,23,5,1,0
Kaniv,2,2,2,1,1,29,25,4,1,0
Konotop,2,2,3,1,1.5,19.5,29,6,1,0
Kovel',2,2,2,1,1,239,76,16,1,0
Kriukivshchyna,2,2,2,1,1,114.5,43,8,1,0
Ludenscheid,2,2,2,0.6666666666666666,1,137,64,13,1,0
Myrhorod,2,2,3,1,1.5,4.5,14,3,1,0
Nikopol',2,2,2,1,1,24,49,9,1,0
Nova Vodolaha,2,2,2,1,1,85,35,6,1,0
Novosibirsk,2,2,2,0.6666666666666666,1,88,11,2,1,0
Pereiaslav,2,2,4,1,2,93,44,10,1,0
Pryluky,2,1,3,1,1.5,68.5,49,10,1,0
Riga,2,2,2,1,1,25.5,10,2,1,0
Slovyansk,2,2,3,1,1.5,204,63,14,1,0
Stryi,2,2,2,1,1,3.5,13,2,1,0
Truskavets,2,2,36,0.9230769230769231,18,228,321,64,1,0
Vasylkiv,2,2,2,1,1,8.5,16,2,1,0
Voznesens'k,2,2,1,0.5,0.5,33.5,9,1,0.5,0
Vyshhorod,2,2,2,1,1,68.5,25,5,1,0
Zhmerynka,2,2,2,1,1,47,54,12,1,0
05170,1,1,1,1,1,0,5,1,1,0
55491,1,1,1,1,1,0,4,1,1,0
60650,1,1,1,1,1,21,8,1,1,0
68423,1,1,1,1,1,253,15,3,1,0
82400,1,0,1,1,1,3,5,1,1,0
Aberdeen,1,1,1,1,1,5,8,2,1,0
Alba Iulia,1,1,1,1,1,7,7,1,1,0
Aligarh,1,1,1,1,1,0,4,1,1,0
Bahacheve,1,1,1,1,1,25,18,3,1,0
Balingga,1,1,2,1,2,195,22,4,1,0
Balta,1,1,1,1,1,0,5,1,1,0
Bar,1,0,1,1,1,8,15,5,1,0
Belgrade,1,1,1,1,1,83,6,1,1,0
Bielsko-Biala,1,1,1,1,1,0,4,1,1,0
Bolhrad,1,1,1,1,1,53,6,1,1,0
Borodyanka,1,1,1,1,1,355,5,1,1,0
Borshchiv,1,1,1,1,1,56,11,2,1,0
Bratislava,1,0,1,1,1,67,35,7,1,0
Bydgoszcz,1,1,1,1,1,0,5,1,1,0
Cimanggu,1,1,1,1,1,1,8,1,1,0
Council Bluffs,1,1,1,1,1,31,5,1,1,0
Dresden,1,1,1,1,1,201,20,4,1,0
Drummondville,1,1,1,1,1,0,5,1,1,0
Fremont,1,1,1,1,1,545,5,1,1,0
Haarlem,1,1,2,1,2,33,11,2,1,0
Hlevakha,1,1,1,1,1,60,15,3,1,0
Horishni Plavni,1,1,1,1,1,4,16,3,1,0
Izmir,1,1,1,1,1,4,8,1,1,0
Kabul,1,1,1,1,1,0,4,1,1,0
Kalush,1,1,2,1,2,11,24,6,1,0
Kalynivka,1,1,1,1,1,0,5,1,1,0
Kamin'-Kashyrs'kyi,1,1,1,1,1,85,39,7,1,0
Kedamaian,1,1,1,1,1,14,18,3,1,0
Kharagpur,1,1,1,1,1,31,5,1,1,0
Kolomyya,1,1,3,1,3,54,17,3,1,0
Langowan Selatan,1,1,1,1,1,5,6,1,1,0
Lebedyn,1,1,1,1,1,22,8,1,1,0
Lublin,1,1,1,1,1,10,5,1,1,0
