День,Час начала,Показы
Воскресенье,00,215
Воскресенье,01,101
Воскресенье,02,50
Воскресенье,03,29
Воскресенье,04,14
Воскресенье,05,17
Воскресенье,06,17
Воскресенье,07,48
Воскресенье,08,83
Воскресенье,09,98
Воскресенье,10,184
Воскресенье,11,193
Воскресенье,12,229
Воскресенье,13,235
Воскресенье,14,239
Воскресенье,15,161
Воскресенье,16,158
Воскресенье,17,148
Воскресенье,18,122
Воскресенье,19,170
Воскресенье,20,125
Воскресенье,21,165
Воскресенье,22,106
Воскресенье,23,124
Понедельник,00,214
Понедельник,01,46
Понедельник,02,66
Понедельник,03,35
Понедельник,04,16
Понедельник,05,23
Понедельник,06,60
Понедельник,07,87
Понедельник,08,208
Понедельник,09,264
Понедельник,10,294
Понедельник,11,309
Понедельник,12,265
Понедельник,13,178
Понедельник,14,105
Понедельник,15,140
Понедельник,16,129
Понедельник,17,66
Понедельник,18,44
Понедельник,19,45
Понедельник,20,86
Понедельник,21,28
Понедельник,22,28
Понедельник,23,18
Вторник,00,166
Вторник,01,55
Вторник,02,31
Вторник,03,13
Вторник,04,16
Вторник,05,18
Вторник,06,34
Вторник,07,99
Вторник,08,216
Вторник,09,184
Вторник,10,117
Вторник,11,167
Вторник,12,171
Вторник,13,137
Вторник,14,127
Вторник,15,137
Вторник,16,137
Вторник,17,30
Вторник,18,73
Вторник,19,51
Вторник,20,22
Вторник,21,0
Вторник,22,0
Вторник,23,0
Среда,00,149
Среда,01,45
Среда,02,38
Среда,03,19
Среда,04,21
Среда,05,11
Среда,06,54
Среда,07,78
Среда,08,116
Среда,09,131
Среда,10,164
Среда,11,141
Среда,12,128
Среда,13,140
Среда,14,109
Среда,15,91
Среда,16,122
Среда,17,92
Среда,18,88
Среда,19,142
Среда,20,108
Среда,21,90
Среда,22,48
Среда,23,0
Четверг,00,129
Четверг,01,24
Четверг,02,24
Четверг,03,13
Четверг,04,3
Четверг,05,13
Четверг,06,33
Четверг,07,18
Четверг,08,42
Четверг,09,66
Четверг,10,103
Четверг,11,164
Четверг,12,181
Четверг,13,73
Четверг,14,52
Четверг,15,76
Четверг,16,114
Четверг,17,42
Четверг,18,107
Четверг,19,129
Четверг,20,17
Четверг,21,7
Четверг,22,20
Четверг,23,19
Пятница,00,135
Пятница,01,30
Пятница,02,16
Пятница,03,7
Пятница,04,14
Пятница,05,7
Пятница,06,17
Пятница,07,32
Пятница,08,53
Пятница,09,103
Пятница,10,162
Пятница,11,228
Пятница,12,200
Пятница,13,180
Пятница,14,137
Пятница,15,153
Пятница,16,162
Пятница,17,136
Пятница,18,105
Пятница,19,22
Пятница,20,52
Пятница,21,60
Пятница,22,9
Пятница,23,23
Суббота,00,115
Суббота,01,54
Суббота,02,45
Суббота,03,21
Суббота,04,22
Суббота,05,42
Суббота,06,13
Суббота,07,34
Суббота,08,90
Суббота,09,110
Суббота,10,175
Суббота,11,163
Суббота,12,190
Суббота,13,121
Суббота,14,159
Суббота,15,169
Суббота,16,133
Суббота,17,118
Суббота,18,116
Суббота,19,53
Суббота,20,27
Суббота,21,39
Суббота,22,62
Суббота,23,42
