Дата,Показы,Расходы
"вс, 22 июн. 2025 г.",305,"319,01 грн."
"пн, 23 июн. 2025 г.",442,"295,20 грн."
"вт, 24 июн. 2025 г.",247,"166,48 грн."
"ср, 25 июн. 2025 г.",54,"129,51 грн."
"чт, 26 июн. 2025 г.",39,"148,65 грн."
"пт, 27 июн. 2025 г.",63,"137,83 грн."
"сб, 28 июн. 2025 г.",165,"129,42 грн."
"вс, 29 июн. 2025 г.",171,"81,09 грн."
"пн, 30 июн. 2025 г.",174,"57,89 грн."
"вт, 1 июл. 2025 г.",273,"173,52 грн."
"ср, 2 июл. 2025 г.",392,"127,43 грн."
"чт, 3 июл. 2025 г.",270,"131,85 грн."
"пт, 4 июл. 2025 г.",377,"126,37 грн."
"сб, 5 июл. 2025 г.",340,"115,08 грн."
"вс, 6 июл. 2025 г.",382,"135,40 грн."
"пн, 7 июл. 2025 г.",272,"133,13 грн."
"вт, 8 июл. 2025 г.",210,"115,73 грн."
"ср, 9 июл. 2025 г.",460,"130,29 грн."
"чт, 10 июл. 2025 г.",257,"133,15 грн."
"пт, 11 июл. 2025 г.",524,"210,30 грн."
"сб, 12 июл. 2025 г.",514,"205,64 грн."
"вс, 13 июл. 2025 г.",550,"191,58 грн."
"пн, 14 июл. 2025 г.",816,"205,19 грн."
"вт, 15 июл. 2025 г.",665,"157,17 грн."
"ср, 16 июл. 2025 г.",497,"129,65 грн."
"чт, 17 июл. 2025 г.",500,"118,30 грн."
"пт, 18 июл. 2025 г.",702,"122,23 грн."
"сб, 19 июл. 2025 г.",475,"132,09 грн."
"вс, 20 июл. 2025 г.",670,"85,41 грн."
"пн, 21 июл. 2025 г.",546,"153,74 грн."
"вт, 22 июл. 2025 г.",606,"127,42 грн."
"ср, 23 июл. 2025 г.",722,"127,05 грн."
"чт, 24 июл. 2025 г.",403,"95,93 грн."
"пт, 25 июл. 2025 г.",377,"56,30 грн."
"сб, 26 июл. 2025 г.",619,"136,23 грн."
"вс, 27 июл. 2025 г.",953,"248,67 грн."
"пн, 28 июл. 2025 г.",504,"135,35 грн."
