# ----------------------------------------
# Запросы: Поисковый запрос при обычном поиске Google
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
Поисковый запрос при обычном поиске Google,Клики по результатам обычного поиска Google,Показы в обычном поиске Google,CTR для кликов по результатам обычного поиска Google,Средняя позиция в результатах обычного поиска Google
techfil,18,56,0.32142857142857145,1.6071428571428572
petg,4,75,0.05333333333333334,15.826666666666666
petg ht,3,9,0.3333333333333333,3.6666666666666665
petg гранула,3,16,0.1875,7.25
petg пластик для 3д принтера,3,12,0.25,8.166666666666668
petg пластик,2,63,0.031746031746031744,30.555555555555557
petg пластик купить,2,26,0.07692307692307693,17.46153846153846
abs пластик купить,1,21,0.047619047619047616,31.285714285714285
asa філамент,1,4,0.25,28.25
petg гранулы,1,7,0.14285714285714285,6.857142857142857
petg купити,1,18,0.05555555555555555,13.722222222222221
petg чорний,1,2,0.5,20.5
как сушить пластик для 3д принтера,1,8,0.125,8.125
лучшие 3d принтеры 2025,1,2,0.5,18.5
филамент,1,8,0.125,15.375
філамент,1,18,0.05555555555555555,18.88888888888889
121*0.75,0,1,0,2
3d abs,0,1,0,50
3d fil,0,1,0,2
3d filament petg,0,5,0,18.6
3d petg,0,8,0,23.375
3d plast,0,3,0,34.333333333333336
3d printer 2025,0,1,0,5
3d printer abs,0,1,0,29
3d trend,0,1,0,10
3d материалы,0,3,0,32.66666666666667
3d печать abs,0,3,0,40.333333333333336
3d печать petg,0,4,0,17.5
3d печать деталей,0,2,0,69.5
3d печать купить,0,4,0,76.5
3d печать материалы,0,3,0,39.333333333333336
3d пластик,0,21,0,31.047619047619047
3d пластик купить,0,3,0,41.666666666666664
3d принтер 2025,0,3,0,10
3d принтер печать на заказ,0,1,0,63
3d принтер пластик купить,0,2,0,35
3d принтер прозрачный пластик,0,1,0,51
3d принтер сайт,0,1,0,81
3d принтер топ 2025,0,1,0,12
3d принтер филамент,0,1,0,16
3d распечатка,0,1,0,63
3d филамент,0,2,0,22.5
3djake asa,0,2,0,9
3dxtech filament,0,1,0,43
3д печать petg,0,3,0,13.333333333333334
3д пластик,0,3,0,30.333333333333332
3д пластик купить,0,1,0,73
3д принтер 2025,0,1,0,11
3д принтер пластик купить,0,3,0,31.666666666666668
3д филамент,0,3,0,16
3д філамент,0,9,0,31.555555555555557
abkfvtyn,0,1,0,9
abs 121,0,1,0,1
abs 3mm,0,1,0,77
abs 757,0,1,0,2
abs asa,0,2,0,47
abs buy,0,1,0,12
abs cf,0,1,0,94
abs filament,0,2,0,31
abs flex,0,1,0,55
abs pc пластик,0,1,0,95
abs petg,0,6,0,31.666666666666668
abs pla,0,7,0,37
abs pla petg,0,6,0,43.666666666666664
abs pla пластик,0,1,0,24
abs print,0,1,0,20
abs pro,0,1,0,37
abs t,0,1,0,19
abs для 3д принтера,0,3,0,7.666666666666667
abs и pla,0,2,0,57.5
abs купить,0,1,0,15
abs материал,0,2,0,38.5
abs параметры печати,0,1,0,44
abs печать,0,1,0,29
abs пластик,0,168,0,37.67261904761905
abs пластик для 3d,0,1,0,69
abs пластик для 3d принтера,0,14,0,20.285714285714285
abs пластик для 3d принтера купить,0,14,0,16.285714285714285
abs пластик для 3д принтера,0,13,0,13.615384615384615
abs пластик для принтера,0,1,0,40
abs пластик для принтера купить,0,3,0,15.333333333333334
abs пластик катушка,0,1,0,36
abs пластик купити,0,12,0,12
abs пластик температура,0,1,0,55
abs пластик характеристики,0,2,0,27.5
abs пластик цена,0,8,0,40.75
abs пластмаса,0,2,0,58
abs филамент,0,14,0,27.642857142857142
abs філамент,0,2,0,21
abs цена,0,3,0,11.333333333333334
abs-пластик,0,1,0,39
abs121,0,1,0,68
abs757,0,3,0,13
asa,0,19,0,9.105263157894736
asa 3d filament,0,4,0,21.25
asa 3d printer filament,0,2,0,28.5
asa 40,0,1,0,47
asa black,0,2,0,30
asa filament,0,7,0,18.285714285714285
asa print,0,1,0,11
asa vs abs,0,1,0,8
asa и abs,0,3,0,8.666666666666668
asa купить,0,3,0,11
asa пластик,0,48,0,24.541666666666668
asa пластик для 3d принтера,0,5,0,16.8
asa пластик купить,0,6,0,14.5
asa филамент,0,14,0,22.785714285714285
asa филамент купить,0,4,0,9.25
bigtreetech vivid,0,1,0,16
bigtreetech vvd,0,2,0,7
black 911,0,1,0,58
cr-petg,0,1,0,74
creality hp asa,0,1,0,94
creality petg,0,6,0,53.5
drone 911,0,1,0,16
fdplast petg,0,1,0,24
fil 3d,0,1,0,3
fil tec,0,1,0,4
filament abs,0,2,0,43.5
filament petg,0,3,0,23.666666666666668
g 3 d,0,1,0,79
ht petg,0,1,0,9
orca slicer калибровка,0,1,0,34
pa 757,0,1,0,48
pbt asa gf30,0,1,0,55
pc abs пластик,0,1,0,83
pctg пластик,0,17,0,44.470588235294116
pegt,0,1,0,1
pet g,0,9,0,29.555555555555557
pet пластик для 3д печати,0,11,0,23.181818181818183
pet филамент,0,1,0,11
pet-g,0,1,0,17
petg 1 кг,0,1,0,35
petg 1.75,0,2,0,28
petg 3d,0,6,0,28.833333333333332
petg 3d printer filament,0,9,0,37.55555555555556
petg abs,0,1,0,15
petg carbon,0,1,0,89
petg filament,0,34,0,18.264705882352942
petg hd,0,1,0,11
petg natural,0,1,0,37
petg pla abs,0,6,0,52.666666666666664
petg pro,0,1,0,30
petg silver,0,1,0,73
petg white,0,1,0,25
petg ws,0,2,0,18.5
petg белый,0,2,0,13
petg гранулы 25 кг купить,0,1,0,7
petg купить,0,15,0,15.933333333333334
petg купить украина,0,5,0,13
petg материал,0,7,0,24
petg матовый,0,1,0,16
petg настройки печати,0,2,0,66
petg не спекаются слои,0,1,0,9
petg паутина,0,8,0,6.125
petg печать,0,4,0,15.75
petg пластик для 3d принтера,0,21,0,10.904761904761905
petg пластик для 3d принтера купить,0,4,0,34.75
petg пластик купити,0,6,0,26.666666666666668
petg пластик принтера купить,0,3,0,36
petg пластик свойства,0,3,0,27.333333333333332
petg пластик температура плавления,0,4,0,27.5
petg пластик характеристики,0,5,0,22.2
petg прозорий,0,2,0,12
petg растворитель,0,5,0,51
petg сушка,0,6,0,10.666666666666666
petg температура плавления,0,2,0,29.5
petg температура сушки,0,2,0,1
petg ультрафиолет,0,4,0,75.75
petg филамент,0,38,0,25.973684210526315
petg филамент купить,0,7,0,18.285714285714285
petg філамент,0,11,0,26
petg філамент купити,0,4,0,20.75
petg характеристики,0,7,0,25.285714285714285
petg цена,0,3,0,9.333333333333334
petg черный,0,1,0,4
petg что это,0,4,0,21.75
petg+,0,1,0,39
petg-ht,0,1,0,3
piocreat,0,1,0,105
piocreat g5,0,1,0,40
pla abs,0,6,0,42.5
pla abs filament,0,3,0,42.666666666666664
pla abs petg,0,6,0,48.333333333333336
pla температура сушки,0,3,0,14.666666666666666
plastic petg,0,1,0,18
plastiki.com.ua,0,1,0,69
polymaker asa,0,1,0,55
print 911,0,1,0,21
printer 2025,0,1,0,3
snapmaker u1,0,1,0,9
stringing,0,1,0,16
sunlu e2 filadryer,0,1,0,54
sunlu sp2,0,1,0,9
tech 911,0,1,0,10
techt,0,1,0,71
trend 3d,0,1,0,60
tronxy petg,0,1,0,29
абс и пла пластик,0,1,0,74
абс пластик,0,6,0,56
абс пластик для 3d принтера,0,1,0,14
абс пластик для 3d принтера купить,0,2,0,56.5
абс пластик для 3д принтера,0,9,0,17.333333333333332
абс пластик для 3д принтера купить,0,1,0,8
абс пластик для 3д принтера купить цена,0,3,0,40
абс пластик для принтера,0,1,0,25
абс пластик купить цена,0,5,0,53.2
абс пластик характеристики,0,1,0,30
абс пластик цена,0,6,0,45.5
абс пластик черный,0,1,0,54
абс филамент,0,10,0,31
абс цена,0,1,0,22
абс-пластик,0,1,0,51
аса пластик,0,2,0,13
виды пластиков для 3д печати,0,2,0,60
виды пластиков для 3д принтера,0,2,0,75.5
витратні матеріали для 3d принтера купити,0,2,0,70.5
выставка 3д печати,0,1,0,42
гироидное заполнение,0,2,0,1
гранулы petg,0,4,0,8.5
держатель канцелярский,0,1,0,61
заказ печати на 3d принтере,0,1,0,67
заказать 3d,0,1,0,67
зонный,0,1,0,33
изделия из абс пластика на заказ,0,1,0,42
как просушить пластик для 3d принтера,0,16,0,10.3125
как просушить филамент,0,2,0,13
как сушить petg,0,15,0,8.866666666666667
как сушить petg пластик,0,5,0,8.4
как сушить pla пластик,0,12,0,10.5
как сушить пластик,0,8,0,10.875
как сушить пластик petg,0,18,0,9.166666666666666
как сушить пластик petg в духовке,0,12,0,9.333333333333334
как сушить пластик pla,0,4,0,11.75
как сушить филамент,0,13,0,13.153846153846153
как сушить филамент petg,0,9,0,7.222222222222222
как убрать сопли при 3д печати,0,1,0,7
канцелярський органайзер,0,1,0,26
кг09,0,1,0,33
купити petg філамент в україні,0,1,0,40
купити листовий пластик,0,1,0,54
купити пластик для 3д принтера,0,5,0,27.8
купити філамент,0,1,0,41
купить 3d,0,1,0,88
купить 3д пластик,0,2,0,56
купить 3д пластик petg,0,1,0,4
купить abs,0,2,0,18
купить abs пластик,0,7,0,30
купить abs пластик для 3d принтера,0,14,0,13.785714285714286
купить petg,0,42,0,17.095238095238095
купить petg для 3d принтера,0,1,0,22
купить petg пластик,0,5,0,19
купить абс,0,5,0,28.6
купить абс пластик,0,2,0,25
купить абс пластик для 3д принтера,0,3,0,21
купить материал для 3d принтера,0,4,0,24.25
купить материал для 3д принтера,0,9,0,27.11111111111111
купить нить для 3д принтера,0,2,0,46
