# ----------------------------------------
# Обычный поисковый трафик Google: Целевая страница + строка запроса
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
Целевая страница + строка запроса,Клики по результатам обычного поиска Google,Показы в обычном поиске Google,CTR для кликов по результатам обычного поиска Google,Средняя позиция в результатах обычного поиска Google,Активные пользователи,Сеансы с взаимодействием,Доля взаимод.,Среднее время взаимодействия на активного пользователя,Количество событий,Ключевые события,Доход от объявления
/,22,186,0.11827956989247312,15.241935483870968,25,29,1,125.4,574,121,0
/ru/petg/,21,1238,0.016962843295638127,24.537156704361873,31,32,0.9411764705882353,39,500,92,0
/ru/,17,331,0.0513595166163142,26.389728096676738,15,17,1,156.6,471,105,0
/ru/petg-no-stringing-high-speed-guide/,9,297,0.030303030303030304,9.525252525252526,10,10,1,122.5,49,10,0
/petg/,8,469,0.017057569296375266,18.375266524520256,18,27,1,53.55555555555556,298,53,0
/ru/trendy-3d-druku-lito-2025/,7,555,0.012612612612612612,11.2,8,9,1,66.75,56,12,0
/ru/asa-abs-engineering-guide-no-warping/,5,104,0.04807692307692308,9.548076923076923,4,4,1,15,18,4,0
/ru/petg074-750-black/,5,149,0.03355704697986577,22.80536912751678,8,8,1,44.75,80,16,0
/ru/petg-peth-074-plastyk-filament-dlia-3d-pryntera-chornyi-0.75-kh/,4,96,0.041666666666666664,12.78125,0,0,0,0,0,0,0
/ru/yak-sushyty-plastyk-dlia-3d-pryntera/,4,883,0.004530011325028313,11.054360135900339,4,4,1,31.5,20,4,0
/asa911-750-black/,3,35,0.08571428571428572,28.37142857142857,3,3,1,1.3333333333333333,17,4,0
/ru/petg-peth-074-plastyk-filament-dlia-3d-pryntera-bilyi-0.75-kh/,3,34,0.08823529411764706,7.794117647058823,0,0,0,0,0,0,0
/asa/,2,103,0.019417475728155338,13.281553398058252,7,7,1,26.142857142857142,75,15,0
/petg-no-stringing-high-speed-guide/,2,95,0.021052631578947368,10.68421052631579,4,5,1,233.25,60,13,0
/petg074-750-black/,2,69,0.028985507246376812,11.304347826086957,8,8,1,26.75,54,10,0
/ru/asa911-750-black/,2,58,0.034482758620689655,22.775862068965516,2,2,1,73.5,20,4,0
/ru/fdm-news-first-half-july-2025/,2,81,0.024691358024691357,9.864197530864198,3,3,1,192.33333333333334,16,3,0
/ru/petg-peth-074-plastyk-filament-dlia-3d-pryntera-naturalnyi-0.75-kh/,2,9,0.2222222222222222,3.4444444444444446,0,0,0,0,0,0,0
/trendy-3d-druku-lito-2025/,2,99,0.020202020202020204,9.93939393939394,2,2,1,35.5,11,2,0
/abs757-750-black/,1,16,0.0625,10,1,1,1,8,6,1,0
/oplata-i-dostavka/,1,10,0.1,1,7,7,1,0,28,7,0
/petg-peth-074-plastyk-filament-dlia-3d-pryntera-chornyi-0.75-kh/,1,26,0.038461538461538464,10.26923076923077,0,0,0,0,0,0,0
/ru/abs/,1,707,0.0014144271570014145,36.86421499292786,5,7,1,15,67,14,0
/ru/petg074-750-green-multikam/,1,9,0.1111111111111111,4.111111111111111,1,1,1,317,67,13,0
/ru/petg074-750-natural/,1,68,0.014705882352941176,16.941176470588236,2,2,1,36,12,2,0
/abs-abs-121-plastyk-filament-dlia-3d-pryntera-chornyi-0.75-kh/,0,15,0,9.6,0,0,0,0,0,0,0
/abs/,0,152,0,27.5,3,3,1,14,22,4,0
/abs121-750-black/,0,3,0,1,0,0,0,0,0,0,0
/abs121-750-natural/,0,2,0,8,1,2,1,0,8,2,0
/asa911-750-natural/,0,3,0,1,0,0,0,0,0,0,0
/blog/,0,24,0,2,0,0,0,0,0,0,0
/fdm-news-first-half-july-2025/,0,7,0,5.285714285714286,0,0,0,0,0,0,0
/manta/,0,5,0,11.6,0,0,0,0,0,0,0
/orhanaizer-kantseliarskyi-heometrychnyi-chornyi-piaty-zonnyi/,0,1,0,72,0,0,0,0,0,0,0
/orhanaizer-kantseliarskyi-prostyi-bilyi-chotyrokh-zonnyi/,0,4,0,12.75,0,0,0,0,0,0,0
/petg-ht-074-plastyk-filament-dlia-3d-pryntera-bilyi-0.75-kh/,0,18,0,17.833333333333332,0,0,0,0,0,0,0
/petg-peth-074-plastyk-filament-dlia-3d-pryntera-naturalnyi-0.75-kh/,0,21,0,13.095238095238095,0,0,0,0,0,0,0
/petg074-750-blue/,0,1,0,7,1,1,1,0,5,1,0
