Отчет о ключевых словах в поисковой сети
22 июня 2025 г. - 28 июля 2025 г.
Статус ключевых слов,Ключевое слово,Тип соответствия,Кампания,Группа объявлений,Статус,Причины статуса,Конечный URL,Kлики,Показы,CTR,Код валюты,Ср. цена за клик,Расходы,Коэфф. конверсии,Ценность конв.,Ценн. конв./стоим.,Конверсии,Стоимость/конв.
Включено,пластик для принтера,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,7,104,"6,73%",UAH,"6,18","43,24","335,71%","981,26","22,69","23,50","1,84"
Включено,esun petg,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,1,3,"33,33%",UAH,"8,97","8,97","100,00%","41,75","4,65","1,00","8,97"
Включено,copet,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,3,33,"9,09%",UAH,"3,66","10,99","466,67%","584,67","53,20","14,00","0,79"
Включено,філамент для 3д принтера,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,1,9,"11,11%",UAH,"3,35","3,35","300,00%","125,30","37,40","3,00","1,12"
Включено,petg пластик купити,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,sunlu colors,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,filament petg hf,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,купити petg пластик,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,пластик для 3d принтера petg,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,[petg філамент],Точное соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,13,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,петг пластик,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,5,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,пластик для 3д друку,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,sunlu,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,14,174,"8,05%",UAH,"6,47","90,57","135,71%","793,76","8,76","19,00","4,77"
Включено,"""petg філамент""",Фразовое соответствие,PETG-UA,PETG-UA-General,Допущено,,,2,20,"10,00%",UAH,"13,05","26,10","450,00%","376,53","14,42","9,00","2,90"
Включено,lbl petg,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,1,52,"1,92%",UAH,"2,84","2,84","100,00%","41,78","14,71","1,00","2,84"
Включено,[купити petg],Точное соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,[techfil],Точное соответствие,PETG-UA,PETG-UA-General,Допущено,,,1,7,"14,29%",UAH,"0,05","0,05","800,00%","823,29","16 465,78","8,00","0,01"
Включено,petg пластик україна,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,[petg пластик],Точное соответствие,PETG-UA,PETG-UA-General,Допущено,,,2,55,"3,64%",UAH,"7,72","15,43","150,00%","125,55","8,14","3,00","5,14"
Включено,petg прозорий,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg для 3d-принтера,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,"""petg для 3d принтера""",Фразовое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,4,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,філамент для 3d принтера,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,6,33,"18,18%",UAH,"8,87","53,20","100,00%","250,98","4,72","6,00","8,87"
Включено,filament org ua,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,4,38,"10,53%",UAH,"3,97","15,87","100,00%","167,09","10,53","4,00","3,97"
Включено,petg україна,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,1,1,"100,00%",UAH,"11,50","11,50","300,00%","125,30","10,90","3,00","3,83"
Включено,plexiwire,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,2,52,"3,85%",UAH,"3,30","6,59","100,00%","83,56","12,68","2,00","3,30"
Включено,petg 1.75,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,1,20,"5,00%",UAH,"2,77","2,77","1000,00%","417,86","150,59","10,00","0,28"
Включено,petg київ,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,panchroma filament,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,1,5,"20,00%",UAH,"6,41","6,41","100,00%","41,79","6,52","1,00","6,41"
Включено,[petg філамент купити],Точное соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
