Отчет о целях динамической рекламы
22 июня 2025 г. - 28 июля 2025 г.
Статус цели динамической рекламы,Цель динамической рекламы,Кампания,Группа объявлений,Код валюты,Статус,Тип кампании,Kлики,Показы,CTR,Ср. цена за клик,Расходы,Коэфф. конверсии,Конверсии,Стоимость/конв.
Включено,Категория равно филамент,PETG-RU,PETG-RU-DSA,UAH,Допущено,Поиск,6,113,"5,31%","5,12","30,71","216,67%","13,00","2,36"
Включено,Категория равно petg пластик,PETG-RU,PETG-RU-DSA,UAH,Допущено,Поиск,18,429,"4,20%","5,68","102,26","338,89%","61,00","1,68"
Включено,Категория равно філамент,ASA-UA,ASA-UA-DSA,UAH,Допущено,Поиск,35,636,"5,50%","8,34","291,78","317,14%","111,00","2,63"
Включено,Категория равно филамент,ASA-RU,ASA-RU-DSA,UAH,Допущено,Поиск,27,401,"6,73%","5,11","138,06","201,85%","54,50","2,53"
Включено,Категория равно asa,ASA-RU,ASA-RU-DSA,UAH,Допущено,Поиск,4,157,"2,55%","6,17","24,67","150,00%","6,00","4,11"
Включено,Категория равно abs пластик,ABS-RU,ABS-RU-DSA,UAH,Допущено,Поиск,25,820,"3,05%","9,02","225,49","158,00%","39,50","5,71"
Включено,Категория равно филамент,ABS-RU,ABS-RU-DSA,UAH,Допущено,Поиск,12,417,"2,88%","4,93","59,20","150,00%","18,00","3,29"
Включено,Категория равно abs пластик,ABS-UA,ABS-UA-DSA,UAH,Допущено,Поиск,18,426,"4,23%","6,06","109,14","169,44%","30,50","3,58"
Включено,Категория равно філамент,ABS-UA,ABS-UA-DSA,UAH,Допущено,Поиск,32,880,"3,64%","7,28","233,08","246,83%","78,99","2,95"
Включено,Категория равно філамент,PETG-UA,PETG-UA-DSA,UAH,Допущено,Поиск,8,315,"2,54%","5,62","44,96","112,50%","9,00","5,00"
Включено,Категория равно petg,PETG-UA,PETG-UA-DSA,UAH,Допущено,Поиск,13,297,"4,38%","5,66","73,53","296,15%","38,50","1,91"
Включено,Категория равно petg пластик,PETG-UA,PETG-UA-DSA,UAH,Допущено,Поиск,1,76,"1,32%","2,51","2,51","300,00%","3,00","0,84"
"Итого (Все цели динамической рекламы, кроме удаленных)",,,,UAH,,,199,4 967,"4,01%","6,71","1335,39","232,66%","462,99","2,88"
Итого (Аккаунт),,,,UAH,,,795,15 537,"5,12%","6,83","5429,57","277,23%","2 204,00","2,46"
Итого (Поиск),,,,UAH,,Поиск,795,15 537,"5,12%","6,83","5429,57","277,23%","2 204,00","2,46"
