# ----------------------------------------
# События: Название события
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
Название события,Количество событий,Всего пользователей,События на активного пользователя,Общий доход
Посещение,4294,1088,3.9466911764705883,0
page_view,4273,1082,3.952821461609621,0
view_item_list,4126,844,4.894424673784104,0
user_engagement,3227,837,3.8973429951690823,0
session_start,1576,1079,1.4633240482822656,0
scroll,1210,529,2.287334593572779,0
first_visit,1074,1074,1.001865671641791,0
view_item,793,338,2.3531157270029674,0
form_start,186,86,2.1627906976744184,0
add_to_cart,155,65,2.3846153846153846,0
Создание корзины,74,65,1.1384615384615384,0
begin_checkout,66,44,1.5,0
Начало оформления заказа,66,44,1.5,0
purchase,36,32,1.125,52789.99997
remove_from_cart,24,6,4,0
click,14,7,2,0
view_search_results,2,1,2,0
form_submit,1,1,1,0
Запрос обратного звонка,1,1,1,0
