# ----------------------------------------
# Совершённые покупки: Название товара
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
Название товара,Просмотренные товары,"Товары, добавленные в корзину",Купленные товары,Доход от позиции
PETG Синій 074 Techfil 1.75 мм 0.75 кг (артикул: 06),87,0,7,2300.000006
PETG Чорний 074 Techfil 1.75 мм 0.75 кг (артикул: 01),82,0,13,4240.000048
ASA Чорний 911 Techfil 1.75 мм 0.75 кг (артикул: 31),57,0,5,1849.999977
ASA Черный 911 Techfil 1.75 мм 0.75 кг (артикул: 31),54,0,5,1849.999905
PETG Черный 074 Techfil 1.75 мм 0.75 кг (артикул: 01),48,0,1,320.000008
PETG Мультікам  074 Techfil 1.75 мм 0.75 кг (артикул: 05),36,0,57,19059.999581
ABS Чорний 757 Techfil 1.75 мм 0.75 кг (артикул: 21),34,0,8,3040.00001
PETG Зелений Мікс-Хакі 074 Techfil 1.75 мм 0.75 кг (артикул: 04),34,0,4,1299.99995
PETG Перехідний 074 Techfil 1.75 мм 0.75 кг (артикул: 10),25,0,4,1200.000071
PETG Сірий 074 Techfil 1.75 мм 0.75 кг (артикул: 09),25,0,4,1280.000029
ABS Натуральний Молочно-білий 121 Techfil 1.75 мм 0.75 кг (артикул: 24),22,0,0,0
PETG Натуральный Прозрачный 074 Techfil 1.75 мм 0.75 кг (артикул: 03),22,0,4,1280.000064
PETG HT Белый 074 Techfil 1.75 мм 0.75 кг (артикул: 19),21,0,1,389.999984
PETG HT Білий 074 Techfil 1.75 мм 0.75 кг (артикул: 19),21,0,0,0
PETG Мультикам 074 Techfil 1.75 мм 0.75 кг (артикул: 05),21,0,6,1940.000056
PETG Жовтий 074 Techfil 1.75 мм 0.75 кг (артикул: 08),16,0,6,1960.000012
ASA Натуральный Молочно-белый 911 Techfil 1.75 мм 0.75 кг (артикул: 32),15,0,0,0
ABS Натуральный Молочно-белый 121 Techfil 1.75 мм 0.75 кг (артикул: 24),14,0,0,0
PETG Білий 074 Techfil 1.75 мм 0.75 кг (артикул: 02),14,0,3,999.999959
PETG Натуральний Прозорий 074 Techfil 1.75 мм 0.75 кг (артикул: 03),14,0,1,320.000011
ABS Черный 757 Techfil 1.75 мм 0.75 кг (артикул: 21),13,0,1,399.999989
PETG Зеленый Микс-Хаки 074 Techfil 1.75 мм 0.75 кг (артикул: 04),13,0,10,3200.000081
PETG Серый 074 Techfil 1.75 мм 0.75 кг (артикул: 09),13,0,2,640.000021
PETG Синий 074 Techfil 1.75 мм 0.75 кг (артикул: 06),13,0,0,0
PETG Красный 074 Techfil 1.75 мм 0.75 кг (артикул: 07),12,0,0,0
ASA Натуральний Молочно-білий 911 Techfil 1.75 мм 0.75 кг (артикул: 32),11,0,2,700.000029
PETG Белый 074 Techfil 1.75 мм 0.75 кг (артикул: 02),11,0,1,320.000008
PETG Червоний 074 Techfil 1.75 мм 0.75 кг (артикул: 07),9,0,8,2600.000063
PETG Желтый 074 Techfil 1.75 мм 0.75 кг (артикул: 08),8,0,0,0
ABS Чорний 121 Techfil 1.75 мм 0.75 кг (артикул: 23),7,0,4,1599.999937
PETG Переходный 074 Techfil 1.75 мм 0.75 кг (артикул: 10),7,0,0,0
"Іграшка Манта Рей чорна, 3Д-друк, PETG-074 (артикул: и1)",5,0,0,0
