# ----------------------------------------
# Страницы и экраны: Путь к странице и класс экрана
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
Путь к странице и класс экрана,Просмотры,Активные пользователи,Просмотры на активного пользователя,Среднее время взаимодействия на активного пользователя,Количество событий,Ключевые события,Общий доход
/petg/,656,301,2.179401993355482,33.31229235880399,4335,659,0
/,535,227,2.356828193832599,29.854625550660792,2094,539,0
/ru/petg/,425,246,1.7276422764227641,20.03252032520325,2909,426,0
/abs/,237,161,1.4720496894409938,12.285714285714286,1199,239,0
/ru/abs/,198,140,1.4142857142857144,10.342857142857143,1014,197,0
/ru/asa/,196,128,1.53125,8.9765625,996,196,0
/asa/,179,105,1.7047619047619047,10.752380952380953,874,179,0
/ru/,123,73,1.6849315068493151,24.767123287671232,448,124,0
/petg074-750-blue/,88,52,1.6923076923076923,16.596153846153847,426,90,0
/petg074-750-black/,83,59,1.4067796610169492,41.50847457627118,378,83,0
/3d-viroby/,62,43,1.441860465116279,13.581395348837209,258,62,0
/asa911-750-black/,57,33,1.7272727272727273,56.21212121212121,258,57,0
/profile/ordersList/,54,12,4.5,23.083333333333332,225,54,0
/ru/asa911-750-black/,54,30,1.8,67.8,233,53,0
/checkout/,51,33,1.5454545454545454,95.93939393939394,328,79,42449.999979
/ru/3d-viroby/,50,39,1.2820512820512822,18.71794871794872,216,50,0
/ru/petg074-750-black/,49,40,1.225,27.975,237,50,0
/blog/,48,12,4,22.75,146,48,0
/pro-nas/,42,28,1.5,17.321428571428573,159,42,0
/oplata-i-dostavka/,40,27,1.4814814814814814,25.962962962962962,136,40,0
/petg074-750-green-multikam/,36,23,1.565217391304348,56.95652173913044,163,36,0
/kontaktna-informatsiya/,34,26,1.3076923076923077,11.76923076923077,115,34,0
/abs757-750-black/,33,29,1.1379310344827587,46.55172413793103,151,34,0
/petg074-750-green-mixhaky/,33,25,1.32,32.84,142,33,0
/ru/yak-sushyty-plastyk-dlia-3d-pryntera/,31,28,1.1071428571428572,34.035714285714285,154,32,0
/petg-no-stringing-high-speed-guide/,28,12,2.3333333333333335,221,118,29,0
/asa-abs-engineering-guide-no-warping/,26,9,2.888888888888889,133.33333333333334,86,26,0
/petg074-750-grey/,25,19,1.3157894736842106,22.63157894736842,118,25,0
/petg/530/,24,16,1.5,40.75,97,25,0
/abs121-750-natural/,22,16,1.375,31.0625,91,22,0
/petg/filter/sort_price=ASC/,22,11,2,42.90909090909091,90,22,0
/trendy-3d-druku-lito-2025/,22,10,2.2,106.8,81,22,0
/petg074-750-white-ht/,21,13,1.6153846153846154,18.307692307692307,88,21,0
/plastyk-dlia-3d-prynteriv/,21,9,2.3333333333333335,31.22222222222222,125,21,0
/ru/petg074-750-green-multikam/,21,17,1.2352941176470589,47.05882352941177,96,21,0
/ru/petg074-750-natural/,21,21,1,26.285714285714285,109,22,0
/ru/petg074-750-white-ht/,21,15,1.4,44.13333333333333,95,21,0
/ru/kontaktna-informatsiya/,20,14,1.4285714285714286,37.785714285714285,66,20,0
/ru/pro-nas/,20,13,1.5384615384615385,22.153846153846153,75,18,0
/ru/trendy-3d-druku-lito-2025/,19,15,1.2666666666666666,59.2,92,19,0
/petg074-750-yellow/,16,12,1.3333333333333333,27.833333333333332,80,17,0
/ru/checkout/,16,13,1.2307692307692308,88.23076923076923,105,25,10339.999991
/profile/,15,7,2.142857142857143,12.714285714285714,50,15,0
/ru/asa911-750-natural/,15,9,1.6666666666666667,32.22222222222222,63,15,0
/petg074-750-natural/,14,12,1.1666666666666667,51.916666666666664,60,14,0
/petg074-750-white/,14,9,1.5555555555555556,17.22222222222222,57,14,0
/ru/abs121-750-natural/,14,13,1.0769230769230769,48.38461538461539,58,14,0
/ru/abs757-750-black/,14,9,1.5555555555555556,50.333333333333336,58,13,0
/ru/asa-abs-engineering-guide-no-warping/,14,10,1.4,68.9,57,14,0
/ru/oplata-i-dostavka/,14,10,1.4,25.2,51,14,0
/ru/petg074-750-blue/,13,9,1.4444444444444444,25.333333333333332,52,13,0
/ru/petg074-750-green-mixhaky/,13,10,1.3,60.5,61,14,0
/ru/petg074-750-grey/,13,10,1.3,36.4,55,13,0
/ru/fdm-news-first-half-july-2025/,12,8,1.5,93.5,50,12,0
/ru/petg-no-stringing-high-speed-guide/,12,13,0.9230769230769231,101.53846153846153,61,12,0
/ru/petg074-750-red/,12,7,1.7142857142857142,35.857142857142854,51,12,0
/asa911-750-natural/,11,10,1.1,29.7,51,11,0
/2025fdmmaterialguide/,10,5,2,52.6,32,10,0
/ru/petg074-750-white/,10,7,1.4285714285714286,24.428571428571427,41,9,0
/obmin-ta-povernennya/,9,8,1.125,8.625,31,10,0
/petg074-750-red/,9,6,1.5,26.333333333333332,43,9,0
/abs121-750-black/,8,5,1.6,29.8,33,8,0
/ru/petg074-750-yellow/,8,7,1.1428571428571428,11.857142857142858,34,9,0
/yak-sushyty-plastyk-dlia-3d-pryntera/,8,7,1.1428571428571428,5.285714285714286,31,9,0
/petg/filter/color=18/,7,3,2.3333333333333335,20.333333333333332,25,7,0
/ru/obmin-ta-povernennya/,7,4,1.75,11.75,23,7,0
/ru/petg/530/,7,6,1.1666666666666667,16.166666666666668,28,7,0
/ru/petg/filter/sort_price=ASC/,7,3,2.3333333333333335,53.333333333333336,32,7,0
/ru/plastyk-dlia-3d-prynteriv/,7,6,1.1666666666666667,17,46,7,0
/checkout/complete/59/,6,1,6,3,18,6,0
/petg/filter/color=1/,6,4,1.5,36.5,17,6,0
/ru/petg/filter/h_1_material=1/,6,5,1.2,21.2,14,6,0
/checkout/complete/65/,5,1,5,13,15,5,0
/igrushki/,5,3,1.6666666666666667,7,20,5,0
/manta/,5,5,1,20.6,20,5,0
/pidstavky-kantseliarski/,5,3,1.6666666666666667,10,22,5,0
/profile/orders/26/,5,1,5,37,17,5,0
/ru/blog/,5,2,2.5,3.5,17,5,0
/ru/petg/filter/color=1/,5,4,1.25,17.5,16,5,0
/shcho-take-petg-plastyk-osoblyvosti-kharakterystyky-ta-zastosuvannia/,5,4,1.25,54.5,19,5,0
/fdm-news-first-half-july-2025/,4,2,2,104.5,15,4,0
/orhanaizery/,4,3,1.3333333333333333,3.6666666666666665,16,4,0
/petg/filter/h_1_material=1/,4,3,1.3333333333333333,14.333333333333334,12,4,0
/profile/orders/16/,4,1,4,33,13,4,0
/profile/orders/22/,4,1,4,62,13,4,0
/profile/orders/41/,4,1,4,14,13,4,0
/ru/comparison/457/,4,1,4,35,12,4,0
/ru/manta/,4,4,1,17.25,16,4,0
/uhoda-korystuvacha/,4,4,1,6.25,12,4,0
/checkout/complete/69/,3,2,1.5,6,12,3,0
/katalog/,3,3,1,16.333333333333332,23,3,0
/profile/orders/64/,3,1,3,68,12,3,0
/ru/checkout/complete/47/,3,2,1.5,3.5,10,3,0
/ru/katalog/,3,3,1,78.66666666666667,24,3,0
/ru/petg/filter/color=3/,3,2,1.5,18.5,12,3,0
/ru/petg/filter/price=320-370/,3,3,1,30,6,3,0
/asa/filter/h_1_material=3/,2,1,2,22,6,2,0
/checkout/complete/39/,2,1,2,6,8,2,0
/checkout/complete/40/,2,1,2,16,8,2,0
/checkout/complete/61/,2,1,2,0,5,2,0
/orhanaizer-kantseliarskyi-prostyi-bilyi-chotyrokh-zonnyi/,2,2,1,7,7,2,0
/petg/filter/color=3/,2,1,2,29,7,2,0
/petg/filter/sort_price_high=DESC/,2,1,2,29,11,2,0
/petg/filter/sort_price_high=DESC;view_type=grid_view/,2,1,2,4,8,2,0
/profile/favorites/,2,2,1,2.5,7,2,0
/profile/orders/31/,2,1,2,18,8,2,0
/profile/orders/69/,2,1,2,29,8,2,0
/ru/abs/filter/h_1_metod_pechati=1;presence=1/,2,1,2,14,6,2,0
/ru/petg/filter/color=18/,2,2,1,50,5,2,0
/ru/petg/filter/h_1_diametr_niti=1/,2,1,2,62,9,2,0
/ru/petg/filter/h_1_diametr_niti=1;h_1_material=1/,2,1,2,10,4,2,0
/ru/petg/filter/sort_price_high=DESC/,2,1,2,8,8,2,0
/ru/profile/ordersList/,2,2,1,20,8,2,0
/3d-viroby/filter/sort_price=ASC/,1,1,1,14,2,1,0
/3d-viroby/filter/sort_price_high=DESC/,1,1,1,7,3,1,0
/abs/filter/h_1_metod_pechati=1/,1,1,1,49,3,1,0
/abs/filter/h_1_wes=2/,1,1,1,5,2,1,0
/adminLegacy/handlers/orders.php,1,1,1,0,4,1,0
/checkout/complete/31/,1,1,1,11,3,1,0
/checkout/complete/32/,1,1,1,27,3,1,0
/checkout/complete/33/,1,1,1,11,3,1,0
