# ----------------------------------------
# Транзакции: Идентификатор транзакции
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
Идентификатор транзакции,Число совершённых покупок,Количество купленных товаров,Доход от покупок
64,1,40,13599.99998
45,1,14,4479.999988
37,1,10,3120.000002
30,1,8,2560.000008
33,1,6,1920.000014
56,1,6,1919.999982
57,1,6,1919.999982
42,1,5,1849.999988
38,1,4,1600.000021
29,1,4,1599.999989
68,1,4,1420.000004
46,1,4,1279.999991
31,1,4,1279.999983
58,1,3,1040.000015
67,1,3,1020.000017
62,1,3,1020.000006
63,1,3,1020.000006
66,1,3,1020.000006
59,1,3,989.999995
47,1,3,960.000014
44,1,2,719.999997
49,1,2,699.999982
34,1,2,640.000019
48,1,2,639.999996
53,1,2,639.999993
61,1,1,389.999984
69,1,1,370.000019
39,1,1,370
55,1,1,369.999989
52,1,1,369.99998
60,1,1,340.000016
65,1,1,339.999988
43,1,1,320.000013
36,1,1,320.000011
41,1,1,320.000005
51,1,1,319.999985
