# ----------------------------------------
# Целевая страница: Целевая страница
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
Целевая страница,Сеансы,Активные пользователи,Новые пользователи,Среднее время взаимодействия на сеанс,Ключевые события,Общий доход,Доля сеансов с ключевыми событиями
/,296,192,176,68.66216216216216,1261,24670.000018,1
/petg,216,159,140,32.5462962962963,491,4499.999938,1
/ru/petg,200,178,168,48.31,538,6229.999983,0.995
/ru/abs,120,115,108,28.1,283,719.999997,0.9916666666666667
/abs,111,104,100,21.35135135135135,192,1600.000021,1
/ru/asa,99,98,91,46.303030303030305,319,1849.999988,0.98989898989899
(not set),85,49,0,10.541176470588235,0,0,0
/asa,67,62,57,32,179,369.99998,1
/petg074-750-blue,53,45,43,38.54716981132076,176,3120.000002,1
/ru,38,36,34,108.3157894736842,175,1279.999991,1
/ru/yak-sushyty-plastyk-dlia-3d-pryntera,30,27,27,34.333333333333336,37,0,1
,29,23,0,18.448275862068964,31,370.000019,0.7241379310344828
/asa911-750-black,17,9,5,7,25,369.999989,1
/petg074-750-black,17,15,10,45.1764705882353,46,1630.000014,1
/ru/petg074-750-black,16,15,14,29.0625,26,0,1
/ru/trendy-3d-druku-lito-2025,15,14,13,59.266666666666666,22,0,1
/profile/ordersList,14,2,0,72.28571428571429,57,0,1
/petg-no-stringing-high-speed-guide,12,8,4,140.33333333333334,23,0,0.9166666666666666
/oplata-i-dostavka,11,9,7,6.636363636363637,13,0,1
/ru/asa-abs-engineering-guide-no-warping,11,7,6,56.63636363636363,19,0,1
/ru/petg-no-stringing-high-speed-guide,10,10,10,122.5,10,0,1
/trendy-3d-druku-lito-2025,10,7,5,20.4,16,0,1
/ru/petg074-750-natural,8,8,8,44.375,15,960.000014,1
/petg074-750-grey,7,3,1,1.2857142857142858,11,0,1
/2025fdmmaterialguide,6,3,3,45.166666666666664,10,0,1
/asa-abs-engineering-guide-no-warping,6,5,3,266.1666666666667,13,0,1
/ru/asa911-750-black,6,5,4,94.33333333333333,32,0,1
/ru/fdm-news-first-half-july-2025,6,6,6,110.5,7,0,1
/checkout/complete/59,4,1,0,0.75,6,0,1
/checkout/complete/65,4,1,0,0,4,0,1
/pro-nas,4,4,2,168.5,33,1420.000004,1
/yak-sushyty-plastyk-dlia-3d-pryntera,4,3,3,0.5,4,0,1
/abs121-750-natural,3,2,0,0,3,0,1
/kontaktna-informatsiya,3,3,3,0.6666666666666666,3,0,1
/petg074-750-green-multikam,3,2,1,148.66666666666666,6,0,1
/petg074-750-red,3,3,1,157,64,0,1
/petg074-750-white-ht,3,2,0,30.666666666666668,18,0,1
/petg074-750-yellow,3,2,1,274.6666666666667,34,1020.000006,1
/plastyk-dlia-3d-prynteriv,3,2,2,83.66666666666667,15,1020.000006,1
/ru/abs757-750-black,3,1,0,0,2,0,0.6666666666666666
/ru/oplata-i-dostavka,3,3,3,0,3,0,1
/ru/petg074-750-white-ht,3,3,2,7,3,0,1
/ru/pro-nas,3,3,0,30.333333333333332,8,0,1
/shcho-take-petg-plastyk-osoblyvosti-kharakterystyky-ta-zastosuvannia,3,3,2,50.333333333333336,3,0,1
/abs121-750-black,2,1,1,0,2,0,1
/abs757-750-black,2,2,2,4,2,0,1
/checkout,2,2,1,10.5,5,0,1
/petg/filter/sort_price=ASC,2,1,0,0,2,0,1
/ru/3d-viroby,2,2,0,0.5,2,0,1
/ru/checkout/complete/47,2,2,1,0,2,0,1
/ru/petg074-750-blue,2,1,0,0,2,0,1
/ru/petg074-750-green-multikam,2,2,2,158.5,14,0,1
/ru/plastyk-dlia-3d-prynteriv,2,2,2,58.5,7,0,1
/3d-viroby,1,0,0,0,1,0,1
/adminLegacy/handlers/orders.php,1,1,0,120,4,0,1
/blog,1,1,0,6,2,0,1
/checkout/complete/39,1,1,0,3,1,0,1
/checkout/complete/61,1,1,0,0,1,0,1
/checkout/complete/69,1,1,1,189,4,0,1
/petg/filter/color=18,1,1,0,0,2,0,1
/petg/filter/h_1_material=1,1,0,0,0,1,0,1
/petg/filter/sort_price_high=DESC,1,1,0,0,1,0,1
/petg074-750-green-mixhaky,1,1,0,87,7,639.999993,1
/petg074-750-white,1,0,0,0,1,0,1
/profile,1,1,0,163,15,1020.000006,1
/profile/orders/41,1,1,0,3,2,0,1
/ru/kontaktna-informatsiya,1,1,0,0,2,0,1
/ru/manta,1,1,0,0,1,0,1
/ru/petg/530,1,1,0,0,1,0,1
/ru/petg/filter/color=18,1,1,0,12,3,0,1
/ru/petg074-750-green-mixhaky,1,1,0,0,1,0,1
/ru/petg074-750-red,1,0,0,0,1,0,1
/ru/petg074-750-white,1,1,0,12,1,0,1
/ru/petg074-750-yellow,1,1,0,0,1,0,1
/ru/pidstavky-kantseliarski,1,1,0,8,2,0,1
/ru/shcho-take-petg-plastyk-osoblyvosti-kharakterystyky-ta-zastosuvannia,1,1,1,2,1,0,1
